2026-02-22 17:23:36,992 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.330'), Decimal('2415.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
2026-02-22 17:23:37,039 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22 | Best Bid: (Decimal('0.370'), Decimal('2999.000')) | Best Ask: (Decimal('0.420'), Decimal('5777.000'))
2026-02-22 17:23:37,039 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22-inverse | Best Bid: (Decimal('0.580'), Decimal('5777.000')) | Best Ask: (Decimal('0.630'), Decimal('2999.000'))
2026-02-22 17:23:37,039 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.670'), Decimal('2515.000'))
2026-02-22 17:23:37,039 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.330'), Decimal('2515.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
2026-02-22 17:23:37,196 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.670'), Decimal('2415.000'))
2026-02-22 17:23:37,196 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.330'), Decimal('2415.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
2026-02-22 17:23:37,214 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.670'), Decimal('2415.000'))
2026-02-22 17:23:37,214 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.330'), Decimal('2415.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
2026-02-22 17:23:37,232 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22 | Best Bid: (Decimal('0.370'), Decimal('2999.000')) | Best Ask: (Decimal('0.410'), Decimal('150.000'))
2026-02-22 17:23:37,237 | INFO | Loaded snapshot for Asset ID: aec-nba-bkn-atl-2026-02-22-inverse | Best Bid: (Decimal('0.590'), Decimal('150.000')) | Best Ask: (Decimal('0.630'), Decimal('2999.000'))
2026-02-22 17:23:37,240 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.670'), Decimal('2565.000'))
2026-02-22 17:23:37,240 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.330'), Decimal('2565.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
2026-02-22 17:23:37,258 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22 | Best Bid: (Decimal('0.630'), Decimal('2571.000')) | Best Ask: (Decimal('0.670'), Decimal('2565.000'))
2026-02-22 17:23:37,258 | INFO | Loaded snapshot for Asset ID: aec-nba-den-gs-2026-02-22-inverse | Best Bid: (Decimal('0.330'), Decimal('2565.000')) | Best Ask: (Decimal('0.370'), Decimal('2571.000'))
