2026-02-26 21:38:58,409 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.38, 1999.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,420 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 12692.0)
2026-02-26 21:38:58,422 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.29, 3907.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:38:58,422 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26MINLAC-MIN | Best Bid: (0.74, 29540.0) | Best Ask: (Decimal('0.7500'), 1336992.0)
2026-02-26 21:38:58,423 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26MINLAC-LAC | Best Bid: (0.25, 522889.0) | Best Ask: (Decimal('0.2600'), 90077.0)
2026-02-26 21:38:58,439 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7458.0)
2026-02-26 21:38:58,442 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.38, 1999.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,444 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 1007.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,449 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 1007.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,453 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7458.0)
2026-02-26 21:38:58,453 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 1007.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,453 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 1007.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,455 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 1007.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,461 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7458.0)
2026-02-26 21:38:58,462 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-LAL | Best Bid: (0.72, 2509.0) | Best Ask: (Decimal('0.6000'), 2378.0)
2026-02-26 21:38:58,463 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 1007.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,472 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 1007.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,480 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 3006.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,482 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7458.0)
2026-02-26 21:38:58,482 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7030.0)
2026-02-26 21:38:58,484 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 3006.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,484 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 3006.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,496 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 3006.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,496 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 3006.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,498 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 5506.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,499 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 5506.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,499 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 5506.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,516 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7030.0)
2026-02-26 21:38:58,518 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7030.0)
2026-02-26 21:38:58,523 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-UTA | Best Bid: (0.29, 3907.0) | Best Ask: (Decimal('0.2900'), 36657.0)
2026-02-26 21:38:58,524 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26NOPUTA-NOP | Best Bid: (0.71, 12805.0) | Best Ask: (Decimal('0.7100'), 16598.0)
2026-02-26 21:38:58,529 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-CHI | Best Bid: (0.39, 5506.0) | Best Ask: (Decimal('0.2900'), 367287.0)
2026-02-26 21:38:58,535 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26SASBKN-SAS | Best Bid: (0.99, 166130.0) | Best Ask: (None, None)
2026-02-26 21:38:58,553 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7458.0)
2026-02-26 21:38:58,554 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7458.0)
2026-02-26 21:38:58,599 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26PORCHI-POR | Best Bid: (0.7, 5681.0) | Best Ask: (Decimal('0.6100'), 12683.0)
2026-02-26 21:38:58,615 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,617 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,635 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-LAL | Best Bid: (0.72, 2509.0) | Best Ask: (Decimal('0.6000'), 2378.0)
2026-02-26 21:38:58,636 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7458.0)
2026-02-26 21:38:58,670 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26HOUORL-HOU | Best Bid: (0.39, 7366.0) | Best Ask: (Decimal('0.1800'), 28807.0)
2026-02-26 21:38:58,681 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7458.0)
2026-02-26 21:38:58,686 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7458.0)
2026-02-26 21:38:58,687 | INFO | Updated order book for Asset ID: KXNBAGAME-26FEB26LALPHX-PHX | Best Bid: (0.39, 361.0) | Best Ask: (Decimal('0.2800'), 7458.0)
