timestamp,ticker,best_bid_price,best_bid_size,best_ask_price,best_ask_size,bid_levels,ask_levels,spread
2026-02-08T18:57:16.958620,KXSB-26-NE,0.32,56.0,0.33,194529.0,32,67,0.01
2026-02-08T18:57:16.958620,KXSB-26-SEA,0.69,75749.0,0.7,86212.0,69,29,0.01
2026-02-08T18:57:17.961851,KXSB-26-NE,0.32,56.0,0.33,194529.0,32,67,0.01
2026-02-08T18:57:17.961851,KXSB-26-SEA,0.69,75749.0,0.7,86212.0,69,29,0.01
2026-02-08T18:57:18.965309,KXSB-26-NE,0.32,49.0,0.33,192731.0,32,67,0.01
2026-02-08T18:57:18.965309,KXSB-26-SEA,0.69,75184.0,0.7,85049.0,69,29,0.01
2026-02-08T18:57:19.967135,KXSB-26-NE,0.32,49.0,0.33,192731.0,32,67,0.01
2026-02-08T18:57:19.967135,KXSB-26-SEA,0.69,75184.0,0.7,85049.0,69,29,0.01
2026-02-08T18:57:20.970045,KXSB-26-NE,0.32,49.0,0.33,190181.0,32,67,0.01
2026-02-08T18:57:20.970045,KXSB-26-SEA,0.69,74931.0,0.7,84507.0,69,29,0.01
2026-02-08T18:57:21.971371,KXSB-26-NE,0.32,49.0,0.33,3726.0,32,67,0.01
2026-02-08T18:57:21.971371,KXSB-26-SEA,0.69,72931.0,0.7,84415.0,69,29,0.01
2026-02-08T18:57:22.973643,KXSB-26-NE,0.33,162.0,0.34,21690.0,33,66,0.01
2026-02-08T18:57:22.973643,KXSB-26-SEA,0.69,72880.0,0.7,36514.0,69,29,0.01
2026-02-08T18:57:23.975485,KXSB-26-NE,0.33,162.0,0.34,21690.0,33,66,0.01
2026-02-08T18:57:23.975485,KXSB-26-SEA,0.69,72880.0,0.7,36514.0,69,29,0.01
2026-02-08T18:57:24.978120,KXSB-26-NE,0.33,262.0,0.34,20176.0,33,66,0.01
2026-02-08T18:57:24.978120,KXSB-26-SEA,0.69,72827.0,0.7,35412.0,69,29,0.01
2026-02-08T18:57:25.980109,KXSB-26-NE,0.33,262.0,0.34,20176.0,33,66,0.01
2026-02-08T18:57:25.980109,KXSB-26-SEA,0.69,72827.0,0.7,35412.0,69,29,0.01
2026-02-08T18:57:26.981818,KXSB-26-NE,0.33,262.0,0.34,20176.0,33,66,0.01
2026-02-08T18:57:26.981818,KXSB-26-SEA,0.69,72827.0,0.7,35412.0,69,29,0.01
2026-02-08T18:57:27.984156,KXSB-26-NE,0.33,262.0,0.34,20176.0,33,66,0.01
2026-02-08T18:57:27.984156,KXSB-26-SEA,0.69,72827.0,0.7,35412.0,69,29,0.01
2026-02-08T18:57:28.985467,KXSB-26-NE,0.33,83.0,0.35,907116.0,33,65,0.02
2026-02-08T18:57:28.985467,KXSB-26-SEA,0.69,71686.0,0.7,33836.0,69,29,0.01
2026-02-08T18:57:29.987907,KXSB-26-NE,0.33,83.0,0.35,907116.0,33,65,0.02
2026-02-08T18:57:29.987907,KXSB-26-SEA,0.69,71686.0,0.7,33836.0,69,29,0.01
2026-02-08T18:57:30.991247,KXSB-26-NE,0.34,433.0,0.35,906223.0,34,65,0.01
2026-02-08T18:57:30.991247,KXSB-26-SEA,0.69,71537.0,0.7,32642.0,69,29,0.01
2026-02-08T18:57:31.993089,KXSB-26-NE,0.34,433.0,0.35,906223.0,34,65,0.01
